,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
"strategy game, imperial conquest",Tech Items,5,2850,-,-,-,-,-,-,-,-,20,1 / hour,-,-,2,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
subdermal extractor,Tech Items,6,3850,1,-,-,-,-,-,-,-,20,1 / use,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
superposition belt,Tech Items,16,180000,-,-,-,-,-,-,-,-,20,2,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
survival straw,Tech Items,2,450,1,-,-,-,-,-,-,-,20,varies,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"swarmproof bangles, advanced",Tech Items,7,6500,-,-,-,-,-,-,-,-,40,1 / min,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"swarmproof bangles, basic",Tech Items,2,900,-,-,-,-,-,-,-,-,20,1 / min,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
synaptic link,Tech Items,14,75000,-,-,-,-,-,-,-,-,100,5 / round,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
thief drone,Tech Items,5,3000,-,-,-,-,-,-,-,-,20,1 / hour,-,-,4,-,AP15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tool kit,Tech Items,1,20,-,-,-,-,-,-,-,-,-,-,-,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"tool kit, engineering speciality",Tech Items,2,445,-,-,-,-,-,-,-,-,-,-,-,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"tool kit, specialty",Tech Items,1,200,-,-,-,-,-,-,-,-,-,-,-,-,L,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tracking bug,Tech Items,6,4250,-,-,-,-,-,-,-,-,20,1 / hour,-,-,L,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
traction holster,Tech Items,7,6000,-,-,-,-,-,-,-,-,80,10 / min,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"warning wire, mk 1",Tech Items,4,2000,-,-,-,-,-,-,-,-,40,1 / hour,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"warning wire, mk 2",Tech Items,8,8800,-,-,-,-,-,-,-,-,40,1 / hour,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"warning wire, mk 3",Tech Items,12,32900,-,-,-,-,-,-,-,-,40,1 / hour,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"warning wire, mk 4",Tech Items,16,153000,-,-,-,-,-,-,-,-,40,1 / hour,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
weightless footlocker,Tech Items,18,340000,-,-,-,-,-,-,-,-,100,1 / hour,-,-,2,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
whisper comm,Tech Items,5,3000,-,-,-,-,-,-,-,-,20,1 / hour,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
whitenoise generator,Tech Items,3,1350,-,-,-,-,-,-,-,-,20,1 / 10 min,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wingsuit,Tech Items,2,800,-,-,-,-,-,-,-,-,-,-,-,-,L,-,AP28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
xray visor,Tech Items,9,15000,-,-,-,-,-,-,-,-,40,1 / round,-,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
zipstick,Tech Items,1,10,1,-,-,-,-,-,-,-,20,1,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aballonian drone box,Magic Items,11,24500,-,-,Held,-,-,-,-,-,-,-,-,-,1,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
abysium philter,Magic Items,5,450,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, alabaster helix",Magic Items,11,30000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, amber hyperboloid",Magic Items,4,2200,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, bright yellow cabochon",Magic Items,4,2000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, clear spindle",Magic Items,1,245,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, cloudy blue rhomboid",Magic Items,3,1300,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, dark blue rhomboid",Magic Items,10,18000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, iridescent spindle",Magic Items,2,740,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, iridescent trillian",Magic Items,12,32000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, kaleidoscopic icosahedron",Magic Items,12,35000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, obsidian annulus",Magic Items,13,55000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, opalescent white pyramid",Magic Items,3,1400,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, pearly white spindle",Magic Items,11,25000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, purple sphere",Magic Items,7,7500,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, ruby sphere",Magic Items,6,3850,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, sapphire cone",Magic Items,5,3200,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, silver lemniscate",Magic Items,14,65000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, vibrant green prism",Magic Items,9,14000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aeon stone, viridian balbis",Magic Items,6,4200,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amulet of camouflage,Magic Items,3,1400,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
anvil of torag,Magic Items,9,12000,-,-,Static object,-,-,-,-,-,-,-,-,-,50,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arclord's rod, mk 1",Magic Items,9,14500,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arclord's rod, mk 2",Magic Items,12,38500,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arclord's rod, mk 3",Magic Items,17,275000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arclord's rod, mk 4",Magic Items,20,950000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
arquand horns,Magic Items,8,8400,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
arquand manacles,Magic Items,5,2800,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
atrocite sphere,Magic Items,20,Priceless,-,-,Artifact,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aura goggles,Magic Items,8,9000,-,-,Worn (goggles),-,-,-,-,-,-,-,-,-,L,-,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
authority medallion,Magic Items,1,225,-,-,Worn,-,-,-,-,-,-,-,-,-,L,-,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"backpack, starfinder",Magic Items,2,750,-,-,Worn (backpack),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barachius helm,Magic Items,5,3000,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
boardroom attire,Magic Items,14,62500,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,L,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
book of unwritten truths,Magic Items,20,Priceless,-,-,Artifact,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"brenneri stone, glossy",Magic Items,3,1000,-,-,Held,-,-,-,-,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"brenneri stone, luminous",Magic Items,7,6000,-,-,Held,-,-,-,-,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"brenneri stone, radiant",Magic Items,11,24000,-,-,Held,-,-,-,-,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
brigh's bolt,Magic Items,3,1300,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
brooch of shielding,Magic Items,2,1000,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
calcification rod,Magic Items,8,9500,-,-,Held,-,-,-,-,-,-,-,-,-,2,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
calecor skullglobe,Magic Items,17,250000,-,-,Static object,-,-,-,-,-,-,-,-,-,1,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
celestial stole,Magic Items,5,3000,-,-,Worn (scarf),-,-,-,-,-,-,-,-,-,-,-,AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
charge cloak,Magic Items,1,200,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
clearsight trinket,Magic Items,5,2750,-,-,???,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
conqueror's star of the headless vesk,Magic Items,20,Priceless,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
conspirator's emblem,Magic Items,7,6500,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
containment tesseract,Magic Items,19,500000,-,-,Static object,-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
corpse lantern,Magic Items,2,500,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
courage medallion,Magic Items,1,100,-,-,Worn,-,-,-,-,-,-,-,-,-,L,-,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cover seed,Magic Items,2,200,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darksight goggles,Magic Items,4,2100,-,-,Worn (goggles),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dawnflower melange,Magic Items,5,475,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dented kasa,Magic Items,5,3000,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diffraction cloak, mk 1",Magic Items,5,3200,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diffraction cloak, mk 2",Magic Items,9,12500,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diffraction cloak, mk 3",Magic Items,13,51000,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djezet draught,Magic Items,5,450,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dreamsilk cloak,Magic Items,9,13400,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"eldritch encephalon, mk 1",Magic Items,8,3500,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"eldritch encephalon, mk 2",Magic Items,13,12500,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"eldritch encephalon, mk 3",Magic Items,18,450000,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 1",Magic Items,3,250,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 2",Magic Items,6,650,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 3",Magic Items,9,2000,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 4",Magic Items,12,5000,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 5",Magic Items,15,16000,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"elemental gem, mk 6",Magic Items,18,49000,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
empty orbit emblem,Magic Items,5,2600,-,-,Worn (other),-,-,-,-,-,-,-,-,-,-,-,AP22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"encryption tattoo, agent",Magic Items,1,50,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"encryption tattoo, master",Magic Items,18,360000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"encryption tattoo, operative",Magic Items,8,8900,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"encryption tattoo, provocateur",Magic Items,13,48000,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
energyrelay gloves,Magic Items,6,4250,-,-,Worn (gloves),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
eohi boots,Magic Items,6,4200,-,-,Worn (boots),-,-,-,-,-,-,-,-,-,L,-,AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
falcon boots,Magic Items,5,3000,-,-,Worn (boots),-,-,-,-,-,-,-,-,-,1,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
falsebond tattoos,Magic Items,3,1500,-,-,Passive,-,-,-,-,-,-,-,-,-,-,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ferocity blazon,Magic Items,6,4000,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"fiery runeplates, mk 1",Magic Items,5,3500,-,-,Worn (other),-,-,-,-,-,-,-,-,-,3,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"fiery runeplates, mk 2",Magic Items,9,14000,-,-,Worn (other),-,-,-,-,-,-,-,-,-,3,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"fiery runeplates, mk 3",Magic Items,13,56000,-,-,Worn (other),-,-,-,-,-,-,-,-,-,3,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"figurine of wondrous power, bloodstone bloodbrother",Magic Items,13,48000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"figurine of wondrous power, bone cresteater",Magic Items,8,9000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"figurine of wondrous power, obsidian electrovore",Magic Items,5,3000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"figurine of wondrous power, plastic sharpwing",Magic Items,15,100000,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flame melon juice,Magic Items,2,480,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flame shield gauntlet,Magic Items,4,1900,-,-,Worn (hand),-,-,-,-,-,-,-,-,-,1,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flux fig,Magic Items,13,8500,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
friendship braclet,Magic Items,4,2000,-,-,Worn (hand),-,-,-,-,-,-,-,-,-,L,-,AP22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
furtive garment,Magic Items,7,5500,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
glory medallion,Magic Items,1,400,-,-,Worn,-,-,-,-,-,-,-,-,-,L,-,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
glove of storing,Magic Items,6,4600,-,-,Worn (gloves),-,-,-,-,-,-,-,-,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
harmonic reassembler,Magic Items,20,Priceless,-,-,Static object,-,-,-,-,-,-,-,-,-,22,-,AP16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hat of disguise,Magic Items,6,3850,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hivemask,Magic Items,3,1400,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hoop of perspicacity,Magic Items,2,750,-,-,Worn (head),-,-,-,-,-,-,-,-,-,L,-,AP22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
horacalcum mélange,Magic Items,5,475,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"improvisation adornment, mk 1",Magic Items,4,1800,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"improvisation adornment, mk 2",Magic Items,8,8400,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"improvisation adornment, mk 3",Magic Items,12,33500,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
inscense of open thoughts,Magic Items,11,3500,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,AP22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
inspiration blazon,Magic Items,11,23500,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
instinctive stabilizer,Magic Items,3,1400,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
inubrix brew,Magic Items,5,475,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
iomedaean crusader helm,Magic Items,4,2100,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lawfinder,Magic Items,3,1200,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mantle of willpower,Magic Items,12,37000,-,-,Worn (cloak),-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mask of the mantis,Magic Items,8,8400,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
monocle of recognition,Magic Items,5,3000,-,-,Worn (head),-,-,-,-,-,-,-,-,-,-,-,AP22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
moon crystal,Magic Items,3,200,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
noqual elixir,Magic Items,5,450,-,-,Consumable,-,-,-,-,-,-,-,-,-,L,-,AP27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
obfuscated journal,Magic Items,3,1250,-,-,Held,-,-,-,-,-,-,-,-,-,1,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pathing telescope,Magic Items,7,7000,-,-,Held,-,-,-,-,-,-,-,-,-,2,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
phase twin generator,Magic Items,13,52000,-,-,Held,-,-,-,-,-,-,-,-,-,1,-,AP14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pilot's helmet,Magic Items,3,1200,-,-,Worn (helmet),-,-,-,-,-,-,-,-,-,L,-,AP14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"planar runeplates, mk 1",Magic Items,4,2000,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"planar runeplates, mk 2",Magic Items,8,8500,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"planar runeplates, mk 3",Magic Items,12,34000,-,-,Worn (other),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"plasma beads, mk 1",Magic Items,6,4200,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"plasma beads, mk 2",Magic Items,9,12500,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"plasma beads, mk 3",Magic Items,12,37500,-,-,Worn (amulet),-,-,-,-,-,-,-,-,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plasma scabbard,Magic Items,6,4250,-,-,Held,-,-,-,-,-,-,-,-,-,L,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"polymorphic serum, mk 1",Magic Items,3,250,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"polymorphic serum, mk 2",Magic Items,6,675,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"polymorphic serum, mk 3",Magic Items,9,2100,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"polymorphic serum, mk 4",Magic Items,12,5700,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"polymorphic serum, mk 5",Magic Items,15,18000,-,-,Consumable,-,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
